date,sales,customers,profit,region,product_category
2026-04-18,5835,25,1321,South,Electronics
2026-04-18,2940,84,1259,North,Electronics
2026-04-18,13582,96,5663,South,Clothing
2026-04-18,7344,49,2178,West,Electronics
2026-04-18,16427,69,6884,East,Clothing
2026-04-18,11713,66,4681,West,Electronics
2026-04-18,10479,99,3994,North,Clothing
2026-04-18,10904,59,2247,West,Food
2026-04-18,7611,60,2145,North,Clothing
2026-04-18,17287,67,4981,South,Clothing
2026-04-18,6153,34,1083,East,Clothing
2026-04-18,14257,138,3617,North,Food
2026-04-18,8051,79,1324,East,Electronics
2026-04-18,9811,83,1804,South,Food
2026-04-18,15206,24,6826,North,Food
2026-04-18,17175,63,2986,North,Food
2026-04-18,6839,82,2489,West,Clothing
2026-04-18,13782,25,3395,South,Clothing
2026-04-18,10724,144,3471,West,Food
2026-04-18,4987,65,1065,South,Electronics
2026-04-18,17457,103,3087,South,Clothing
